               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085824,            0.022809,            0.056847,             0.45537,             0.23269,             0.14506,            0.066299,            0.031126,           0.0085389,            0.039447,            0.070857,           0.0032381,           0.0032381
                   1,             0.05198,            0.022181,            0.054447,            0.088619,             0.48341,             0.17945,            0.089528,             0.03082,           0.0060754,            0.038312,            0.040727,           0.0064413,           0.0064413
                   2,            0.050502,            0.019185,            0.052772,             0.60702,             0.24432,             0.23026,             0.12119,            0.028638,           0.0057512,            0.037866,            0.010465,           0.0095125,           0.0095125
                   3,            0.047065,            0.017765,            0.053397,             0.13638,             0.32972,             0.14037,            0.037098,            0.033324,           0.0062401,            0.034338,            0.009406,            0.009406,            0.009406
                   4,            0.041312,            0.015776,              0.0476,             0.15788,               0.616,             0.25909,             0.07766,            0.036036,           0.0053678,            0.030627,            0.009406,            0.009406,            0.009406
                   5,            0.037482,             0.01482,            0.043749,             0.24526,              0.5251,             0.31694,              0.1185,            0.029789,            0.005307,            0.032263,            0.009208,            0.009208,            0.009208
                   6,            0.039581,            0.014233,            0.045972,             0.20216,             0.23725,             0.13336,            0.054504,            0.039251,            0.005923,            0.036047,             0.00901,             0.00901,             0.00901
                   7,            0.036176,             0.01393,            0.042633,             0.29151,             0.81107,              0.3356,             0.13295,            0.026579,           0.0056261,            0.026022,            0.008812,            0.008812,            0.008812
                   8,            0.034941,            0.013717,            0.042045,             0.27196,             0.85392,             0.48394,             0.26034,            0.020951,            0.004576,            0.024545,            0.008614,            0.008614,            0.008614
                   9,            0.039725,            0.013744,            0.042398,             0.32725,             0.40436,             0.16843,            0.044381,            0.035288,           0.0059649,            0.037347,            0.008416,            0.008416,            0.008416
                  10,            0.033894,            0.013299,            0.040383,                0.32,             0.78831,             0.41931,             0.15418,            0.028766,           0.0053888,            0.024557,            0.008218,            0.008218,            0.008218
                  11,            0.032292,             0.01261,            0.041516,              0.2291,             0.62375,             0.33497,            0.092847,             0.02921,           0.0055314,            0.027042,             0.00802,             0.00802,             0.00802
                  12,            0.035297,            0.012737,            0.039662,             0.61587,              0.5532,             0.45654,             0.23559,            0.021523,           0.0047159,            0.029871,            0.007822,            0.007822,            0.007822
                  13,            0.030878,             0.01302,            0.037654,             0.32649,             0.86073,             0.52663,             0.20899,            0.024958,           0.0051188,            0.023694,            0.007624,            0.007624,            0.007624
                  14,            0.031236,             0.01275,            0.037456,             0.34919,             0.95982,             0.50349,             0.22639,            0.025554,           0.0045809,            0.022876,            0.007426,            0.007426,            0.007426
